"id","type","path","labelShortFormDe","labelLongFormEn","labelLongFormDe","descriptionDe","isA"
"/accelerator-based-facility/fcc","accelerator-based-facility","","FCC","FCC","","",""
"/accelerator-based-facility/flash__flash2020plus","accelerator-based-facility","","FLASH2020+","flash  flash2020plus","","",""
"/accelerator-based-facility/hbs","accelerator-based-facility","","HBS","High Brilliance accelerator-based neutron Source","Hochbrillanz-Beschleuniger-Neutronenquelle","Die Jülicher Hochbrillanz-Beschleuniger-Neutronenquelle (HBS) stellt ein neuartiges Konzept für eine kompakte beschleunigergetriebene Neutronenquelle dar, das die Lücke zwischen labororientierten Neutronenquellen im kleinen Maßstab wie Neutronengeneratoren oder beschleunigergetriebenen Quellen mit geringer Leistung (<1 kW) und reaktorbasierten Hochfluss- oder Spallationsneutronenquellen schließt.",""
"/accelerator-based-facility/ilc","accelerator-based-facility","","ILC","ilc","","",""
"/accelerator-based-facility/kara","accelerator-based-facility","","KARA","KARA","","",""
"/accelerator-based-facility/lhc","accelerator-based-facility","","LHC","Large Hadron Collider","Large Hadron Collider","",""
"/accelerator-based-facility/lhc__hl-lhc","accelerator-based-facility","","HL-LHC","High-Luminosity LHC","Hochluminositäts-LHC","",""
"/accelerator-based-facility/myrrha","accelerator-based-facility","","MYRRHA","Multi-purpose HYbrid Research Reactor for High-tech Applications","Mehrzweck-HYbrid-Forschungsreaktor für Hightech-Anwendungen","",""
"/accelerator-based-facility/nova-era","accelerator-based-facility","","NovaEra","nova era","NovaEra","",""
"/accelerator-based-facility/petra__petra3","accelerator-based-facility","","PETRA III","PETRA III","PETRA III","",""
"/accelerator-based-facility/petra__petra4","accelerator-based-facility","","PETRA IV","PETRA IV","PETRA IV","",""
"/accelerator-research-subfields","accelerator-research-subfields","","Beschleunigerforschungs-Bereiche","accelerator research subfields","Beschleunigerforschungs-Bereiche","",""
"/accelerator-research-subfields/cryogenics","accelerator-research-subfields","","Kältetechnik","cryogenics","Kältetechnik","",""
"/accelerator-research-subfields/geodesy-and-alignment","accelerator-research-subfields","","Vermessung und Ausrichtung","geodesy and alignment","Vermessung und Ausrichtung","",""
"/accelerator-research-subfields/instrumentation-and-diagnostics","accelerator-research-subfields","","Instrumentierung und Diagnose","instrumentation and diagnostics","Instrumentierung und Diagnose","",""
"/accelerator-research-subfields/ultra-high-vacuum","accelerator-research-subfields","","Ultrahochvakuumtechnologie","ultra high vacuum technology","Ultrahochvakuumtechnologie","",""
"/accelerator-subsystem","accelerator-subsystem","","Beschleuigungerkomponenten","accelerator subsystems","Beschleuigungerkomponenten","",""
"/accelerator-subsystem/collimator","accelerator-subsystem","","Kollimator","collimator","Kollimator","",""
"/accelerator-subsystem/magnet","accelerator-subsystem","","Magnet","magnet","Magnet","Magnete erfüllen in Teilchenbeschleunigern wichtige Funktionen. Dipolmagnete lenken die Flugbahn geladeneer Teilcehn ab und ermöglichen ringförmige Anlagen sowie die Extraktion von Teilchen. Quadrupolmagnete dienen der Fokussierung der Teilchenstrahlen. Sextupolmagnete und weitere Korrekturmagnete dienen der Feinanpassung.",""
"/accelerator-subsystem/magnet/dipole-magnet","accelerator-subsystem","magnet","Dipolmagnet","dipole magnet","Dipolmagnet","Dipolmagnete erzeugen ein homogenes Magnetfeld zur Strahlablenkung. as Magnetfeld muss präzise an die Art der Teilchen und deren Geschwindigkeit angepasst werden",""
"/accelerator-subsystem/magnet/kicker-magnet","accelerator-subsystem","magnet","Kickermagnet","kicker magnet","Kickermagnet","Ein Kickermagnet ist ein spezialisierter Elektromagnet, der in Teilchenbeschleunigern verwendet wird, um Teilchenstrahlen schnell abzulenken oder umzuleiten. Sie erzeugen kurze, rechteckige Magnetfeldpulse mit sehr schnellen Anstiegs- und Abfallzeiten (typischerweise 10-100 Nanosekunden). Dadurch lassen sich einzelne Teilchenopakete in einen Teilchenstrahl einbringen oder aus ihm extrahieren. Kickermagnete spielen eine entscheidende Rolle bei der präzisen Kontrolle und Manipulation von Teilchenstrahlen in modernen Beschleunigeranlage",""
"/accelerator-subsystem/magnet/quadrupole-magnet","accelerator-subsystem","magnet","Quadrupolmagnet","quadrupole magnet","Quadrupolmagnet","Ein Quadrupolmagnet ist eine spezielle Anordnung von vier Magnetpolen, die in Teilchenbeschleunigern und Strahlführungen zur Fokussierung von Teilchenstrahlen eingesetzt wird.  Er fokussiert den Strahl in einer Richtung (z. B. horizontal) und defokussiert ihn in der dazu senkrechten. Um eine Gesamtfokussierung zu erreichen, werden mehrere Quadrupole hintereinander angeordnet (FODO-Struktur).",""
"/accelerator-subsystem/magnet/sextupole-magnet","accelerator-subsystem","magnet","Quadrupolmagnet","quadrupole magnet","Quadrupolmagnet","Ein Sextupolmagnet besteht aus sechs Magnetpolen, die abwechselnd als Nord- und Südpol um eine Mittelachse angeordnet sind. Sie werden oft in Kombination mit Quadrupolmagneten verwendet, um Fokussierungsfehler, die durch Energieunterschiede der Teilchen entstehen, auszugleichen (chromatische Abberation).",""
"/accelerator-subsystem/power-converters","accelerator-subsystem","","Stromwandler","power converters","Stromwandler","",""
"/accelerator-type","accelerator-type","","Beschleunigertyp","Accelerator Type","Beschleunigertyp","",""
"/accelerator-type/cyclotron","accelerator-type","","Zyklotron","cyclotron","Zyklotron","",""
"/accelerator-type/erl","accelerator-type","","ERL","energy recovery linac","Energierückgewinnungs Lineatbeschleuniger","",""
"/accelerator-type/linac","accelerator-type","","Linear-Beschleuniger","linear collider","Linear-Beschleuniger","",""
"/accelerator-type/linac/high-power-proton-linac","accelerator-type","linac","Hochleistungs-Protonen-Linac","high power proton linac","Hochleistungs-Protonen-Linac","",""
"/accelerator-type/synchrotron","accelerator-type","","Synchrotron","synchrotron","Synchrotron","",""
"/application","application","","Anwendungen","Applications","Anwendungen","",""
"/application/health","application","health","Gesundheitsanwendungen","health","Gesundheitsanwendungen","",""
"/application/health/proton-therapy","application","health","Protonentherapie","proton therapy","Protonentherapie","Eine medizinische Anwendung von Beschleunigertechnologie",""
"/application/health/radiosotope-production","application","health","Radioisotopproduktion","radiosotope production","Radioisotopproduktion","",""
"/application/industry","application","","Industrielle Anwendungen","Industrial applicartions","Industrielle Anwendungen","",""
"/application/ion-beam-analysis","application","","Ionenstrahlanalyse","ion beam analysis","Ionenstrahlanalyse","",""
"/application/metrology","application","","Metrologie","metrology","Metrologie","Grundlagen der Metrologie/Radiometrie
 Metrologie für die Industrie/EUV-Lithographie
 Forschung und Entwicklung für optische Technologien/Weltrauminstrumente
 Materialmetrologie/Nanometrologie",""
"/application/science","application","science","Wissenschaftliche Anwendungen","science","Wissenschaftliche Anwendungen","",""
"/application/science/hadron-physics","application","science","Hadronen- und Kernpysik","hadron physics","","",""
"/application/science/high-energy-physics","application","science","Teilchenphysik","high energy physics","Teilchenphysik","",""
"/application/science/neutron-science","application","science","Forschung mit Neutronen","neutron science","Forschung mit Neutronen","",""
"/application/science/photon-science","application","science","Forschung Mit Photonen","photon science","Forschung Mit Photonen","",""
"/application/security","application","","Sicherheitsanwendungen","security","Sicherheitsanwendungen","",""
"/application/transmutation","application","","Transmutation","transmutation","","",""
"/funding-program","/funding-program","","Forschungsförderungs-Programme","Funding","Forschungsförderungs-Programme","",""
"/funding-program/erum","funding","bmbf","ErUM-Rahmenprogramm des BMBF","erum","BMBF-Rahmenprogramm  zur Erforschung des Universums und der Materie","",""
"/funding-program/erum/erum-pro","funding","","ErUM-Pro","Aktionsplan ErUM-Pro","Aktionsplan ErUM-Pro","ErUM-Aktionsplan für die Projektförderung zur Vernetzung von Hochschulen, Forschungsinfrastrukturen und Gesellschaft",""
"/funding-program/erum/erum-data","funding","bmbf","ErUM-Data","ErUM-Dat","ErUM-Aktionsplan mit dem Ziel, das Potenzial von Daten und Digitalisierung bei der Erforschung von Universum und Materie an Forschungsinfrastrukturen voll auszuschöpfen. Der Fokus liegt auf der interdisziplinären Entwicklung und dem Transfer von digitalen Werkzeugen und Kompetenzen.","",""
"/funding-program/erum/erum-transfer","funding","bmbf","ErUM-Transfer","ErUM-Transfer","ErUM-Aktionsplan mit dem Ziel, das Potenzial neuer Erkenntnisse und Technologien aus der naturwissenschaftlichen Grundlagenforschung an Forschungsinfrastrukturen für Wirtschaft und Gesellschaft zu erschließen. Der Charakter der Neugier getriebenen Grundlagenforschung soll dabei erhalten bleiben.","",""
"/funding-program/eu","funding","eu","EU-Rahmenprogramme für Forschung und Innovation","","EU-Rahmenprogramme für Forschung und Innovation","",""
"/funding-program/eu/horizon-2020","funding","eu","Horizont 2020","Horizon 2020","Horizont 2020","Horizont 2020 (2013 bis 2020) war das erste Rahmenprogramm für Forschung und Innovation. Es markiert einen Paradigmenwechsel hin zu einer wesentlich stärkeren Innovationsorientierung der Rahmenprogramme. Horizont 2020 deckt die gesamte Innovationskette ab: Von den ersten Ideen für die Grundlagenforschung bis hin zu fertig entwickelten neuartigen Produkten, Dienstleistungen und Verfahren für Markt und Gesellschaft bietet Horizont 2020 auf europäischer Ebene eine Vielzahl von effektiven Förder- und Unterstützungsmaßnahmen und schafft damit die besten Voraussetzungen für Innovationen.",""
"/funding-program/eu/horizon-europe","funding","eu","Horizont Europa","horizon europe","Horizont Europa","Horizont Europa (2021 bis 2027) ist das aktuelle Rahmenprogramm für Forschung und Innovation. Es gilt als das neunte Forschungsrahmenprogramm und es ist das zweite, das auch den Begriff Innovation im Titel trägt. Es ist das weltweit größte Einzelförderprogramm für Forschung und Innovation.",""
"/strategic-issue","issue","","Strategische Themen","stratic issues","Strategische Themen","",""
"/strategic-issue/human-capital","issue","","Humankapital","human-capital","","",""
"/strategic-issue/collaboration","issue","","Zusammenarbeit","collaboration","Zusammenarbeit","",""
"/strategic-issue/collaboration/ontology","issue","","Gemeinsame Taxonomie","collaboration","Gemeinsame Taxonomie","",""
"/strategic-issue/commercialisation","issue","","Kommerzielle Verwertung","commercialisation","Kommerzielle Verwertung","",""
"/strategic-issue/commercialisation/entrepreneurship","issue","commercialisation","Unternehmergeist","entrepreneurship","Unternehmergeist","",""
"/strategic-issue/commercialisation/innovation","issue","commercialisation","Innovation","innovation","Innovation","",""
"/strategic-issue/community-management","issue","","Community Management","community management","Community Management","",""
"/strategic-issue/digital-transformation","issue","","Digitale Transformation","digital transformation","Digitale Transformation","",""
"/strategic-issue/digital-transformation/digital-twin","issue","digital-transformation","Digitale Zwillinge","digital twin","Digitale Zwillinge","",""
"/strategic-issue/digital-transformation/machine-learning","issue","digital-transformation","Maschinelles Lernen","machine-learning","Maschinelles Lernen","",""
"/strategic-issue/digital-transformation/software","issue","digital-transformation","Software/Codecs","software","Software/Codecs","",""
"/strategic-issue/human-capital/dei","issue","","Vielfalt, Gerechtigkeit und Teilhabe","Diversity, Equity & Inclusion","Vielfalt, Gerechtigkeit und Teilhabe","",""
"/strategic-issue/excellence","issue","","Wissenschaftliche Exzellenz","excellence","Wissenschaftliche Exzellenz","",""
"/strategic-issue/excellence/bibliometrics","issue","excellence","Bibliometrische Exzellenzmessung","bibliometric-excellenc","Bibliometrische Exzellenzmessung","",""
"/strategic-issue/green-transformation","issue","","Grüne Transformation","green transformation","Grüne Transformation","",""
"/strategic-issue/open-science","issue","","Open Science","open science","Open Science","",""
"/strategic-issue/open-science/fair-principles","issue","open-science","FAIR-Prinzipien","fair principles","FAIR-Prinzipien","",""
"/strategic-issue/open-science/citizen-science","issue","particiaption","Citizen Science","citizen science","Citizen Science","",""
"/strategic-issue/strategy","issue","strategy","Strategieentwicklung","strategy","Strategieentwicklung","",""
"/strategic-issue/strategy/goals","issue","strategy","Ziele","goals","Ziele","",""
"/strategic-issue/strategy/values","issue","strategy","Werte","values","Werte","",""
"/strategic-issue/suppliers","issue","","Beschaffung","suppliers","Beschaffung","",""
"/strategic-issue/teaching","issue","","Lehre","teaching","Lehre","",""
"/strategic-issue/teaching/cas","issue","teaching","CAS","CERN Accelerator School","CERN Beschleunigerschule","",""
"/strategic-issue/teaching/summer-schools","issue","teaching","Sommerschulen","summer schools","Sommerschulen","",""
"/strategic-issue/commercialisation/technology-transfer","issue","","Technologietransfer","technology transfer","Technologietransfer","",""
"/strategic-issue/collaboration/verbundforschung","issue","","Verbundforschung","verbundforschung","Verbundforschung","",""
"/item-type","item-type","","Publikationstypen","Publikationstypen","Publikationstypen","",""
"/item-type/annual-report","item-type","","Jahresbericht","Annual Report","","",""
"/item-type/database","item-type","","Datenbank","Database","","",""
"/item-type/homepage","item-type","","Homepage","Homepage","","",""
"/item-type/strategies-and-roadmaps","item-type","","Strategiepapiere und Roadmap","strategies and roadmaps","","",""
"/item-type/strategy-workshop-contributions","item-type","","Workhop-Beitrag","strategy workshop contributions","","",""
"/organization","","","Organisationen","Organizations","Organisation","",""
"/organization/research-institution","Non-university research centre","","Forschungseinrichtungem","Research Institutions","Forschungseinrichtung","",""
"/organization/research-institution/desy","Non-university research centre","","DESY","Deutsches Elektronen-Sychrotron","Deutsches Elektronen-Synchrotron DESY","Das Deutsche Elektronen-Synchrotron DESY zählt zu den weltweit führenden Teilchenbeschleunigerzentren. Das Helmholtz-Zentrum mit Sitz in Hamburg und Zeuthen bei Berlin beschäftigt rund 2.900 Mitarbeiter:innen. DESY entwickelt und baut Teilchenbeschleuniger sowie Nachweisinstrumente und liefert damit einzigartige Werkzeuge für die Forschung:",""
"/organization/research-institution/ersf","Non-university research centre","","ERSF","European Synchrotron Radiation Facility","Europäische Synchrotronstrahlungsquelle","",""
"/organization/research-institution/fzj","Non-university research centre","","FZJ","Forschungszentrum Jülich","Forschungszentrum Jülich","",""
"/organization/research-institution/gsi","Non-university research centre","","GSI","GSI Helmholtzzentrum für Schwerionenforschung","GSI Helmholtzzentrum für Schwerionenforschung","Das GSI Helmholtzzentrum für Schwerionenforschung betreibt in Darmstadt eine der weltweit führenden Teilchenbeschleunigeranlagen für die physikalische Grundlagenforschung.",""
"/organization/research-institution/hzb","Non-university research centre","","HZB","Helmholtz-Zentrum Berlin für Materialien und Energie","Helmholtz-Zentrum Berlin für Materialien und Energie","Das HZB betreibt die Synchrotronstrahlungsquelle BESSY II und gemeinsam mit der PTB die MLS. Am Zentrum selbst wird Beschleunigerforschung betrieben, aber auch die Einrichtungen der Kooperationspartner werden genutzt, um Materialien für die Energieumwandlung und -speicherung wie Solarzellen, Batterien und Katalysatoren zu erforschen.",""
"/organization/research-institution/hzdr","Non-university research centre","","HZDR","Helmholtz-Zentrum Dresden-Rossendorf","Helmholtz-Zentrum Dresden-Rossendorf","Mit dem Ionenstrahlzentrum und dem Zentrum für Hochleistungsstrahlquellen ELBE entwickelt und betreibt das HZDR beschleunigerbasierte Infrastrukturen, die weltweit nachgefragt werden. Von großer Bedeutung für die Beschleunigerforschung ist auch das am HZDR angesiedelte Hochmagnetfeldlabor Dresden.",""
"/organization/research-institution/kit","Non-university research centre","","KIT","KIT","KIT","",""
"/organization","organization","","Organisation",,"organization","",""
"/organization/alliance","organization","Allianz","Allianzen","alliances","Allianzen","",""
"/organization/alliance/athena","organization","Allianz","ATHENA","Accelerator Technology HElmholtz iNfrAstructure","Accelerator Technology HElmholtz iNfrAstructure","Forschungs- und Entwicklungsplattform für Beschleunigertechnologien, in der sich alle sechs Helmholtz-Beschleunigerzentren (GSI mit seiner Außenstelle, dem Helmholtz-Institut Jena, sowie DESY, Forschungszentrum Jülich, Helmholtz-Zentrum Berlin, Helmholtz-Zentrum Dresden-Rossendorf HZDR und KIT) zusammengeschlossen haben. Gemeinsam wollen die beteiligten Zentren zwei deutsche Leuchtturmprojekte der Beschleunigerforschung auf der Basis innovativer plasmabasierter Teilchenbeschleuniger und modernster Lasertechnologie errichten: eine Elektronenbeschleunigeranlage bei DESY in Hamburg und eine Hadronenbeschleunigeranlage am HZDR.",""
"/organization/alliance/elena","organization","Allianz","ELENA","ELENA","ELENA","ELENA ist eine europäische Gemeinschaft zur Förderung der Zusammenarbeit auf dem Gebiet der Neutronenquellen auf der Basis von Niedrig-Energie-Beschleunigern.",""
"/organization/alliance/leaps","organization","Allianz","LEAPS","leaps","LEAPS","LEAPS (League of European Accelerator-based Photon Sources) ist eine Gemeinschaft von europäischen Synchrotron- und Freie-Elektronen-Laser-Photonenquellen. Die 2017 gegründete Organisation hat das Ziel, die Zusammenarbeit und Qualität der an Photonenquellen durchgeführten Grundlagen-, angewandten und industriellen Forschung zu fördern.",""
"/organization/alliance/lens","organization","Allianz","LENS","League of Advanced European Neutron Sources","League of Advanced European Neutron Sources","LENS (League of Advanced European Neutron Sources) ist eine Gemeinschaft, die alle europäischen Synchrotron- und Freie-Elektronen-Laser-Photonequellen in Europa zusammenbringt. Die 2017 gegründete Organisation hat sich zum Ziel gesetzt, die Qualität und die positiven Auswirkungen der an ihren Mitgliedern durchgeführten Grundlagen-, angewandten und industriellen Forschung zu fördern und sicherzustellen.",""
"/organization/erc","organization","european-coordination","ERC","European Research Council","Europäische Forschungsrat","",""
"/organization/erum-committee","organization","erum-committee","ErUM-Komitee","ErUM committee","ErUM-Komitee","",""
"/organization/erum-committee/kat","organization","ErUM-Komitee","KAT","Komitee für Astroteilchenphysik","Komitee für Astroteilchenphysik","",""
"/organization/erum-committee/ket","organization","ErUM-Komitee","KET","Komitee für Elementarteilchenphysik","Komitee für Elementarteilchenphysik","",""
